trade_date,trades,net_usd,expectancy_usd,targets,stops,timeouts,target_rate,avg_hold_seconds
2025-09-23,62,-292.9,-4.72,1,35,26,0.0161,-14326.881
2025-09-24,72,-175.9,-2.44,1,31,40,0.0139,-14319.516
2025-09-25,74,-194.8,-2.63,6,51,17,0.0811,-14342.819
2025-09-26,69,-186.8,-2.71,2,45,22,0.029,-14338.879
2025-09-29,50,-75.5,-1.51,0,22,28,0.0,-14312.722
2025-09-30,76,-122.7,-1.61,3,41,32,0.0395,-14327.86
2025-10-01,70,-248.0,-3.54,0,45,25,0.0,-14333.377
2025-10-02,60,-6.0,-0.1,3,21,36,0.05,-14312.646
2025-10-03,56,-181.7,-3.24,3,32,21,0.0536,-14325.955
2025-10-06,37,-106.4,-2.88,0,16,21,0.0,-14316.886
2025-10-07,46,-312.2,-6.79,0,28,18,0.0,-14323.489
2025-10-08,77,-211.9,-2.75,1,35,41,0.013,-14316.696
2025-10-09,49,-177.3,-3.62,1,20,28,0.0204,-14315.008
2025-10-10,79,-395.8,-5.01,3,55,21,0.038,-14348.44
2025-10-13,84,-432.8,-5.15,2,66,16,0.0238,-14356.509
2025-10-14,80,-322.5,-4.03,2,60,18,0.025,-14357.495
2025-10-15,63,-93.6,-1.49,6,37,20,0.0952,-14338.346
2025-10-16,65,-301.5,-4.64,1,44,20,0.0154,-14342.378
2025-10-17,60,-174.0,-2.9,6,50,4,0.1,-14373.489
2025-10-20,48,-115.6,-2.41,0,26,22,0.0,-14329.966
2025-10-21,51,-319.2,-6.26,1,39,11,0.0196,-14347.321
2025-10-22,57,-243.9,-4.28,2,37,18,0.0351,-14333.077
